Day,Incidents
2021-04-04,2
2021-04-05,2
2021-04-06,1
2021-04-07,4
2021-04-08,2
2021-04-09,2
2021-04-11,1
2021-04-12,2
2021-04-13,4
2021-04-14,1
2021-04-15,4
2021-04-16,1
2021-04-18,1
2021-04-19,2
2021-04-20,3
2021-04-21,4
2021-04-22,1
2021-04-23,1
2021-04-24,1
2021-04-25,1
2021-04-26,2
2021-04-27,4
2021-04-28,2
2021-04-29,1
2021-05-01,14
2021-05-02,1
2021-05-03,2
2021-05-05,1
2021-05-06,3
2021-05-07,2
2021-05-08,2
2021-05-10,3
2021-05-11,4
2021-05-12,1
2021-05-13,1
2021-05-14,2
2021-05-15,3
2021-05-16,1
2021-05-17,3
2021-05-19,2
2021-05-20,5
2021-05-21,4
2021-05-23,3
2021-05-24,3
2021-05-25,2
2021-05-26,3
2021-05-27,1
2021-05-28,1
2021-05-29,2
2021-05-30,4
2021-05-31,2
2021-06-01,25
2021-06-02,2
2021-06-03,1
2021-06-04,3
2021-06-05,1
2021-06-06,2
2021-06-07,6
2021-06-08,2
2021-06-09,2
2021-06-10,1
2021-06-11,1
2021-06-12,1
2021-06-13,4
2021-06-14,1
2021-06-15,4
2021-06-16,2
2021-06-17,7
2021-06-19,2
2021-06-20,4
2021-06-21,3
2021-06-22,2
2021-06-24,1
2021-06-26,4
2021-06-27,1
2021-06-28,4
2021-06-29,3
2021-06-30,2
2021-07-01,22
2021-07-03,1
2021-07-04,2
2021-07-05,3
2021-07-06,3
2021-07-07,3
2021-07-08,2
2021-07-09,2
2021-07-10,2
2021-07-12,2
2021-07-13,1
2021-07-15,6
2021-07-16,3
2021-07-17,2
2021-07-18,2
2021-07-19,4
2021-07-20,3
2021-07-21,6
2021-07-22,3
2021-07-23,1
2021-07-25,2
2021-07-26,3
2021-07-27,3
2021-07-28,4
2021-07-29,4
2021-07-30,1
2021-07-31,2
2021-08-01,16
2021-08-02,2
2021-08-03,4
2021-08-04,3
2021-08-05,1
2021-08-06,2
2021-08-07,3
2021-08-08,4
2021-08-09,4
2021-08-10,4
2021-08-11,2
2021-08-12,2
2021-08-13,1
2021-08-14,3
2021-08-15,3
2021-08-16,5
2021-08-17,2
2021-08-18,2
2021-08-19,3
